index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
125,prefill: onnx.save,262.948,269.494,6.546,12401.523,12337.547,-63.977,12337.547,13776.133,13873.523,264.174,483524.199,0.941,1.014,8.173,4745.388,46
126,prefill: post: onnx.save,269.494,269.898,0.404,7601.535,7601.535,0.0,7601.535,7601.535,7601.535,269.897,477252.176,0.886,0.886,0.0,0.0,1
127,prefill: onnx.load,269.898,269.899,0.001,7601.535,7601.535,0.0,7601.535,7601.535,7601.535,269.898,477252.176,2.998,2.998,0.0,0.0,1
128,prefill: post: onnx.load,269.899,282.739,12.84,6978.004,8399.824,1421.82,2430.027,13276.849,21889.656,281.246,480522.191,2.631,21.207,25.01,0.004,142
129,prefill: torch.onnx.export,282.739,291.432,8.693,8399.824,8406.598,6.773,8399.824,8403.527,8406.598,291.431,477956.176,23.444,38.022,1.542,4782.885,6
130,prefill: post: torch.onnx.export,291.432,291.432,0.0,8406.598,8406.598,0.0,8406.598,8406.598,8406.598,291.432,477956.176,19.286,19.286,0.0,0.0,1
131,prefill: onnx.load,291.432,291.433,0.001,8406.598,8406.598,0.0,8406.598,8406.598,8406.598,291.433,477956.176,13.5,13.5,0.0,0.0,1
132,prefill: post: onnx.load,291.433,291.433,0.0,8406.598,8406.598,0.0,8406.598,8406.598,8406.598,291.433,477956.176,9.45,9.45,0.0,0.0,1
133,"prefill: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",291.433,300.363,8.93,8406.598,13142.617,4736.02,8406.598,10745.65,13142.617,300.362,482692.195,1.578,7.272,4751.15,0.0,34
134,"prefill: post: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",300.363,300.366,0.004,13142.617,13142.617,0.0,13142.617,13142.617,13142.617,300.366,482692.195,1.253,1.253,0.0,0.0,1
135,prefill: onnx.save,300.366,307.131,6.765,13142.617,13142.617,0.0,13142.617,14483.897,14678.621,301.647,484228.199,0.96,1.304,8.596,4764.138,47
136,prefill: post: onnx.save,307.131,307.538,0.407,8406.598,8406.598,0.0,8406.598,8406.598,8406.598,307.537,477956.176,0.53,0.53,0.0,0.0,1
137,prefill: onnx.load,307.538,307.539,0.001,8406.598,8406.598,0.0,8406.598,8406.598,8406.598,307.538,477956.176,0.371,0.371,0.0,0.0,1
138,prefill: post: onnx.load,307.539,321.332,13.794,8235.719,8983.598,747.879,3235.094,14369.52,22529.164,319.578,480458.191,2.37,20.567,28.716,0.005,160
139,prefill: torch.onnx.export,321.332,329.828,8.496,8983.598,8986.91,3.312,8983.598,8985.251,8986.91,322.077,477828.176,26.843,36.647,1.33,4782.885,6
140,prefill: post: torch.onnx.export,329.828,329.828,0.0,8986.91,8986.91,0.0,8986.91,8986.91,8986.91,329.828,477828.176,17.749,17.749,0.0,0.0,1
141,prefill: onnx.load,329.828,329.829,0.001,8986.91,8986.91,0.0,8986.91,8986.91,8986.91,329.829,477828.176,12.424,12.424,0.0,0.0,1
142,prefill: post: onnx.load,329.829,329.829,0.0,8986.91,8986.91,0.0,8986.91,8986.91,8986.91,329.829,477828.176,8.697,8.697,0.0,0.0,1
